rank,titulo,ano,doi,autores,citacoes,venue,score,tier,screening,motivo,verificacao,found_via,arquivo_local
1,Transformers in Time Series: A Survey,2023,10.24963/ijcai.2023/759,Qingsong Wen|Tian Zhou|Chaoli Zhang|Weiqi Chen|Ziqing Ma|Junchi Yan,1103,,0.8618,deep,include,top-25 por score (citacao+recencia+cobertura),verified,raw_openalex_q2|raw_openalex_q3|raw_snowball,
2,Are Transformers Effective for Time Series Forecasting?,2023,10.1609/aaai.v37i9.26317,Ailing Zeng|Muxi Chen|Lei Zhang|Qiang Xu,3054,Proceedings of the AAAI Conference on Artificial Intelligence,0.8527,deep,include,top-25 por score (citacao+recencia+cobertura),verified,raw_openalex_q1|raw_snowball,
3,Informer: Beyond Efficient Transformer for Long Sequence Time-Series Forecasting,2021,10.1609/aaai.v35i12.17325,Haoyi Zhou|Shanghang Zhang|Jieqi Peng|Shuai Zhang|Jianxin Li|Hui Xiong,6892,Proceedings of the AAAI Conference on Artificial Intelligence,0.809,deep,include,top-25 por score (citacao+recencia+cobertura),verified,raw_openalex_q4,
4,Time-series forecasting with deep learning: a survey,2021,10.1098/rsta.2020.0209,Bryan Lim|Stefan Zohren,1770,Philosophical Transactions of the Royal Society A Mathematical Physical and Engineering Sciences,0.7988,deep,include,top-25 por score (citacao+recencia+cobertura),verified,raw_openalex_q1|raw_snowball,
5,NHITS: Neural Hierarchical Interpolation for Time Series Forecasting,2023,10.1609/aaai.v37i6.25854,Cristian Challú|Kin G. Olivares|Boris N. Oreshkin|Federico Garza Ramirez|Max Mergenthaler Canseco|Artur Dubrawski,505,Proceedings of the AAAI Conference on Artificial Intelligence,0.751,deep,include,top por score; NHITS e modelo hierarquico central p/ LTSF,verified,raw_openalex_q3|raw_snowball,
6,A Time Series is Worth 64 Words: Long-term Forecasting with Transformers,2022,10.48550/arxiv.2211.14730,Yuqi Nie|Nam Hoai Nguyen|Phanwadee Sinthong|Jayant Kalagnanam,559,arXiv (Cornell University),0.7452,deep,include,top-25 por score (citacao+recencia+cobertura),verified,raw_openalex_q2|raw_openalex_q3,
8,Long sequence time-series forecasting with deep learning: A survey,2023,10.1016/j.inffus.2023.101819,Zonglei Chen|Minbo Ma|Tianrui Li|Tianrui Li|Hongjun Wang|Chongshou Li,344,Information Fusion,0.7293,deep,include,top-25 por score (citacao+recencia+cobertura),verified,raw_openalex_q1|raw_snowball,
9,Deep Learning for Time Series Forecasting: Tutorial and Literature Survey,2022,10.1145/3533382,Konstantinos Benidis|Syama Sundar Rangapuram|Valentín Flunkert|Bernie Wang|Danielle C. Maddix|Caner Türkmen,357,ACM Computing Surveys,0.7199,deep,include,top-25 por score (citacao+recencia+cobertura),verified,raw_openalex_q1|raw_snowball,
10,TSMixer: Lightweight MLP-Mixer Model for Multivariate Time Series Forecasting,2023,10.1145/3580305.3599533,Vijay Ekambaram|Arindam Jati|Nam Nguyen|Phanwadee Sinthong|Jayant Kalagnanam,272,,0.7161,deep,include,top-25 por score (citacao+recencia+cobertura),verified,raw_openalex_q2|raw_snowball,
11,TS2Vec: Towards Universal Representation of Time Series,2022,10.1609/aaai.v36i8.20881,,763,,0.6961,deep,include,top-25 por score (citacao+recencia+cobertura),verified,raw_snowball,
12,Deep Learning for Time Series Forecasting: A Survey,2020,10.1089/big.2020.0159,J. F. Torres|Dalil Hadjout|Abderrazak Sebaa|Francisco Martínez‐Álvarez|Alicia Troncoso,816,Big Data,0.6768,deep,include,top-25 por score (citacao+recencia+cobertura),verified,raw_openalex_q1,
13,A Review of ARIMA vs. Machine Learning Approaches for Time Series Forecasting in Data Driven Networks,2023,10.3390/fi15080255,Vaia I. Kontopoulou|Athanasios D. Panagopoulos|Iοannis Kakkos|George K. Matsopoulos,415,Future Internet,0.6732,deep,include,top-25 por score (citacao+recencia+cobertura),verified,raw_openalex_q4,
14,iTransformer: Inverted Transformers Are Effective for Time Series Forecasting,2023,10.48550/arxiv.2310.06625,Yong Liu|Tengge Hu|Haoran Zhang|Haixu Wu|Shiyu Wang|Lintao Ma,381,arXiv (Cornell University),0.6684,deep,include,top-25 por score (citacao+recencia+cobertura),verified,raw_openalex_q2,
15,TimesNet: Temporal 2D-Variation Modeling for General Time Series Analysis,2022,10.48550/arxiv.2210.02186,Haixu Wu|Tengge Hu|Yong Liu|Hang Zhou|Jianmin Wang|Mingsheng Long,443,arXiv (Cornell University),0.6654,deep,include,top-25 por score (citacao+recencia+cobertura),verified,raw_openalex_q4,
16,Spatio-Temporal Adaptive Embedding Makes Vanilla Transformer SOTA for Traffic Forecasting,2023,10.1145/3583780.3615160,,361,,0.6654,deep,include,top-25 por score (citacao+recencia+cobertura),verified,raw_snowball,
17,A comprehensive survey of deep learning for time series forecasting: architectural diversity and open challenges,2025,10.1007/s10462-025-11223-9,Jongseon Kim|Hyungjoon Kim|HyunGi Kim|Dongjun Lee|Sungroh Yoon,232,Artificial Intelligence Review,0.6635,deep,include,top-25 por score (citacao+recencia+cobertura),verified,raw_openalex_q1,
18,Diagnosisformer: An efficient rolling bearing fault diagnosis method based on improved Transformer,2023,10.1016/j.engappai.2023.106507,,312,,0.6571,deep,include,top-25 por score (citacao+recencia+cobertura),verified,raw_snowball,
19,Spatio-Temporal Meta-Graph Learning for Traffic Forecasting,2023,10.1609/aaai.v37i7.25976,,309,,0.6566,deep,include,top-25 por score (citacao+recencia+cobertura),verified,raw_snowball,
20,Spatio-Temporal Graph Transformer Networks for Pedestrian Trajectory Prediction,2020,10.1007/978-3-030-58610-2_30,,559,,0.6554,deep,include,top-25 por score (citacao+recencia+cobertura),verified,raw_snowball,
21,Stock market index prediction using deep Transformer model,2022,10.1016/j.eswa.2022.118128,,360,,0.6537,deep,include,top-25 por score (citacao+recencia+cobertura),verified,raw_snowball,
22,Deep learning for time series forecasting: a survey,2025,10.1007/s13042-025-02560-w,Xiangjie Kong|Zhenghao Chen|Weiyao Liu|Kaijie Ning|Lechao Zhang|Syauqie Muhammad Marier,189,International Journal of Machine Learning and Cybernetics,0.652,deep,include,top-25 por score (citacao+recencia+cobertura),verified,raw_openalex_q1,
23,MSGNet: Learning Multi-Scale Inter-series Correlations for Multivariate Time Series Forecasting,2024,10.1609/aaai.v38i10.28991,,228,,0.651,deep,include,top-25 por score (citacao+recencia+cobertura),verified,raw_snowball,
24,Foundation Models for Time Series Analysis: A Tutorial and Survey,2024,10.1145/3637528.3671451,Yuxuan Liang|Haomin Wen|Yuqi Nie|Yushan Jiang|Ming Jin|Dongjin Song,218,,0.6485,deep,include,top-25 por score (citacao+recencia+cobertura),verified,raw_openalex_q5,
25,Informer: Beyond Efficient Transformer for Long Sequence Time-Series Forecasting,2020,10.48550/arxiv.2012.07436,Haoyi Zhou|Shanghang Zhang|Jieqi Peng|Shuai Zhang|Jianxin Li|Hui Xiong,476,arXiv (Cornell University),0.6463,deep,include,top-25 por score (citacao+recencia+cobertura),verified,raw_openalex_q4,
40,Temporal Fusion Transformers for interpretable multi-horizon time series forecasting,2021,10.1016/j.ijforecast.2021.03.012,Bryan Lim|Sercan Ö. Arık|Nicolas Loeff|Tomas Pfister,153,International Journal of Forecasting,0.5939,skim,include,canonico TFT publicado,verified,raw_openalex_q3,
92,ARIMA LSTM Prophet,2026,,Mahajan,0,,0.3667,skim,include,corpus local do projeto (full-text OA),sem-id,local_corpus,artigos/08-Mahajan2026-ARIMA-LSTM-Prophet.pdf
93,Recent Advances Frontiers,2026,,Liao,0,,0.3667,skim,include,corpus local do projeto (full-text OA),sem-id,local_corpus,artigos/09-Liao2026-Recent-Advances-Frontiers.pdf
106,Deep Learning TSF Survey,2025,,Kong,0,,0.3551,skim,include,corpus local do projeto (full-text OA),sem-id,local_corpus,artigos/01-Kong2025-Deep-Learning-TSF-Survey.pdf
107,Architectural Diversity Open Challenges,2025,,Kim,0,,0.3551,skim,include,corpus local do projeto (full-text OA),sem-id,local_corpus,artigos/02-Kim2025-Architectural-Diversity-Open-Challenges.pdf
108,AutoFormer TS NAS,2025,,Zhang,0,,0.3551,skim,include,corpus local do projeto (full-text OA),sem-id,local_corpus,artigos/06-Zhang2025-AutoFormer-TS-NAS.pdf
121,Transformers in Time Series,2022,,Wen,0,,0.3205,skim,include,corpus local do projeto (full-text OA),sem-id,local_corpus,artigos/03-Wen2022-Transformers-in-Time-Series.pdf
125,Autoformer,2021,,Wu,0,,0.309,skim,include,corpus local do projeto (full-text OA),sem-id,local_corpus,artigos/05-Wu2021-Autoformer.pdf
129,Temporal Fusion Transformer,2019,,Lim,0,,0.2859,skim,include,corpus local do projeto (full-text OA),sem-id,local_corpus,artigos/04-Lim2019-Temporal-Fusion-Transformer.pdf
133,07-Power-of-Architecture-LTSF-2025,,,,0,,0.0667,skim,include,corpus local do projeto (full-text OA),sem-id,local_corpus,artigos/07-Power-of-Architecture-LTSF-2025.pdf
7,Survey on deep learning with class imbalance,2019,10.1186/s40537-019-0192-5,Justin Johnson|Taghi M. Khoshgoftaar,2983,Journal Of Big Data,0.7385,deep,exclude,"wrong population: class imbalance, nao forecasting",verified,raw_openalex_q1,
